Dashboard,Task_Creation,1634,81.7
Kanban_Board,Task_Creation,1623,81.15
Dashboard,Kanban_Board,1610,80.5
Task_Creation,Time_Tracking,733,36.65
Reporting,Task_Creation,731,36.55
Gantt_Chart,Task_Creation,728,36.4
Gantt_Chart,Kanban_Board,727,36.35
Dashboard,Time_Tracking,726,36.3
Dashboard,Gantt_Chart,725,36.25
Kanban_Board,Time_Tracking,722,36.1
Kanban_Board,Reporting,720,36
Dashboard,Reporting,707,35.35
Dashboard,Integrations,699,34.95
Integrations,Kanban_Board,693,34.65
Integrations,Task_Creation,689,34.45
Gantt_Chart,Time_Tracking,366,18.3
Gantt_Chart,Reporting,364,18.2
Integrations,Time_Tracking,361,18.05
Reporting,Time_Tracking,356,17.8
Gantt_Chart,Integrations,348,17.4
Integrations,Reporting,344,17.2
